main_indicator;indicator;sub_indicator;alias
Sosial;Mortalitas;Angka Kematian Balita (AKBa) ;['Angka Kematian Balita (AKBa)', 'angka kematian balita','AKBa']
Sosial;Mortalitas;Angka Kematian Bayi (AKB) ;['Angka Kematian Bayi (AKB)', 'angka kematian bayi','AKB']
Sosial;Mortalitas;Angka Kematian Ibu (AKI) ;['Angka Kematian Ibu (AKI)', 'angka kematian ibu','AKI']
Sosial;Mortalitas;Angka Kematian Kasar (AKK) ;['Angka Kematian Kasar (AKK)', 'angka kematian kasar','AKK']
Sosial;Mortalitas;Angka Kematian Menurut Usia (AKMU) ;['Angka Kematian Menurut Usia (AKMU)', 'angka kematian menurut usia','AKMU']
Sosial;Mortalitas;Angka Kematian Neo-natal ;['angka kematian neo-natal', 'AKNeo']
Sosial;Mortalitas;Angka Kematian Post Neo-natal ;['angka kematian post neo-natal', 'AKPNeo']
Sosial;Mortalitas;Angka Harapan Hidup;['Angka Harapan Hidup (AHH)', 'angka harapan hidup', 'AHH', 'harapan hidup']
Sosial;Morbiditas;Angka Kesakitan/ Morbiditas/Persentase Penduduk yang Mempunyai Keluhan Kesehatan;['angka kesakitan', 'angka morbiditas', 'morbiditas', 'persentase penduduk yang mempunyai keluhan kesehatan']
Sosial;Morbiditas;Rata-Rata Lama Sakit;['rata-rata lama sakit']
Sosial;Morbiditas;Tingkat Prevalensi ;['tingkat prevalensi']
Sosial;Morbiditas;Insidensi ;['insidensi']
Sosial;Morbiditas;Angka Fatalitas Kasus ;['angka fatalitas kasus']
Sosial;Morbiditas;Angka Daya Tular ;['angka daya tular']
Sosial;Morbiditas;Tingkat Serangan ;['tingkat serangan']
Sosial;Kependudukan;Kepadatan Penduduk ;['kepadatan penduduk', 'jumlah penduduk', 'jumlah populasi penduduk']
Sosial;Kependudukan;Laju Pertumbuhan Penduduk ;['laju pertumbuhan penduduk', 'pertumbuhan penduduk']
Sosial;Kependudukan;Rasio Jenis Kelamin ;['rasio jenis kelamin', 'sex ratio', 'SR']
Sosial;Kependudukan;Distribusi Penduduk Menurut Wilayah;['distribusi penduduk menurut wilayah', 'persentase penduduk menurut wilayah']
Sosial;Migrasi;Angka Migrasi Masuk ;['angka migrasi masuk', 'migrasi masuk']
Sosial;Migrasi;Angka Migrasi Keluar ;['angka migrasi keluar', 'migrasi keluar']
Sosial;Migrasi;Migrasi Neto ;['angka migrasi neto', 'migrasi neto']
Sosial;Migrasi;Migrasi Seumur Hidup ;['migrasi seumur hidup', 'migrasi semasa hidup']
Sosial;Migrasi;Migrasi Risen ;['angka migrasi risen', 'migrasi risen']
Sosial;Migrasi;Migrasi Total;['angka migrasi total', 'migrasi total']
Sosial;Kemiskinan dan Ketimpangan;Ketimpangan Pendapatan (Ukuran Bank Dunia);['ketimpangan pendapatan (ukuran bank dunia)', 'ketimpangan bank dunia']
Sosial;Kemiskinan dan Ketimpangan;Koefisien Gini;['koefisien gini', 'gini ratio', 'rasio gini', 'tingkat ketimpangan pendapatan', 'ketimpangan pendapatan', 'ketimpangan']
Sosial;Kemiskinan dan Ketimpangan;Garis Kemiskinan (GK) ;['Garis Kemiskinan (GK)', 'garis kemiskinan', 'garis kemiskinan makanan', 'garis kemiskinan bukan makanan', 'garis kemiskinan nonmakanan', 'GK', 'GKM', 'GKBM', 'GKNM', 'kemiskinan', 'angka kemiskinan']
Sosial;Kemiskinan dan Ketimpangan;Persentase Penduduk Miskin ;['persentase penduduk miskin', 'persentase kemiskinan', 'jumlah penduduk miskin', 'tingkat kemiskinan', 'jumlah masyarakat miskin']
Sosial;Kemiskinan dan Ketimpangan;Indeks Kedalaman Kemiskinan ;['indeks kedalaman kemiskinan', 'kedalaman kemiskinan']
Sosial;Kemiskinan dan Ketimpangan;Indeks Keparahan Kemiskinan ;['indeks keparahan kemiskinan', 'keparahan kemiskinan']
Sosial;Kemiskinan dan Ketimpangan;Indeks Kemiskinan Manusia (IKM) ;['Indeks Kemiskinan Manusia (IKM)', 'indeks kemiskinan manusia','IKM']
Sosial;Ketenagakerjaan;Angkatan Kerja;['angkatan kerja', 'pengangguran', 'penganggur', 'penduduk usia kerja', 'jumlah penduduk yang bekerja', 'jumlah penduduk bekerja', 'jumlah pengangguran', 'jumlah angkatan kerja', 'jumlah penduduk angkatan kerja', 'jumlah penduduk bukan angkatan kerja']
Sosial;Ketenagakerjaan;Setengah Penganggur;['angka setengah pengangguran', 'setengah penganggur', 'setengah pengangguran', 'pekerja setengah penganggur']
Sosial;Ketenagakerjaan;Tingkat Partisipasi Angkatan Kerja (TPAK);['Tingkat Partisipasi Angkatan Kerja (TPAK)', 'tingkat partisipasi angkatan kerja','TPAK']
Sosial;Ketenagakerjaan;Tingkat Pengangguran Terbuka (TPT);['Tingkat Pengangguran Terbuka (TPT)', 'tingkat pengangguran terbuka', 'TPT', 'tingkat pengangguran']
Sosial;Ketenagakerjaan;Tingkat Kesempatan Kerja;['tingkat kesempatan kerja', 'kesempatan kerja']
Sosial;Ketenagakerjaan;Rasio Ketergantungan;['rasio ketergantungan']
Sosial;Ketenagakerjaan;Rata-Rata Upah Harian Buruh Bangunan;['rata-rata upah harian buruh bangunan', 'upah nomial harian buruh bangunan']
Sosial;Ketenagakerjaan;Rata-Rata Upah Harian Buruh Tani;['rata-rata upah harian buruh tani', 'upah nominal harian buruh tani']
Sosial;Pembangunan Manusia;Indeks Pembangunan Manusia (IPM);['Indeks Pembangunan Manusia (IPM)', 'indeks pembangunan manusia','IPM']
Sosial;Pembangunan Manusia;Rata-Rata Pengeluaran Perkapita Riil yang Disesuaikan (Daya Beli);['rata-rata pengeluaran perkapita riil yang disesuaikan (daya beli)', 'daya beli masyarakat']
Sosial;Pembangunan Manusia;Indeks Pembangunan Gender (IPG) ;['Indeks Pembangunan Gender (IPG)', 'indeks pembangunan gender','IPG']
Sosial;Pembangunan Manusia;Indeks Pemberdayaan Gender (IDG) ;['Indeks Pemberdayaan Gender (IDG)', 'indeks pemberdayaan gender','IDG']
Lainnya;Lainnya;Lainnya;['Potensi Desa (Podes)', 'Podes', '[]']
